Product,Test,Method,above_floor,Time,bg_floor_log10,criterion_value,Range_log10,Range_units,n_in_intersect,n_above_floor,n_total,no_range,problematic,best_achieved,valid
Whipping Cream,Charm,Best Accuracy,FALSE,48 Hours,0.88,0.9792,no range,—,1,8,8,NA,"Geo 1, Geo 2, Geo 4, AF 5, AF 6, AF 7, AF 8",NA,FALSE
Whipping Cream,Charm,Best Accuracy,FALSE,72 Hours,0.88,0.9167,no range,—,4,8,8,NA,"Geo 1, Geo 2, Geo 4, AF 7",NA,FALSE
Whipping Cream,AttuneDilut,Youden J,TRUE,12 Hours,2.88,0.8,2.90,7.9e+02,8,8,8,NA,NA,NA,TRUE
Whipping Cream,AttuneDilut,Youden J,TRUE,24 Hours,2.88,1,2.90 – 3.30,7.9e+02 – 2.0e+03,8,8,8,NA,NA,NA,TRUE
Whipping Cream,AttuneDilut,Youden J,TRUE,48 Hours,2.88,1,2.90 – 3.20,7.9e+02 – 1.6e+03,8,8,8,NA,NA,NA,TRUE
Whipping Cream,AttuneDilut,Youden J,TRUE,72 Hours,2.88,0.975,2.90,7.9e+02,8,8,8,NA,NA,NA,TRUE
Whipping Cream,AttuneDilut,Sensitivity-first,TRUE,12 Hours,2.88,0.8,2.90,7.9e+02,8,8,8,NA,NA,NA,TRUE
Whipping Cream,AttuneDilut,Sensitivity-first,TRUE,24 Hours,2.88,1,2.90 – 3.30,7.9e+02 – 2.0e+03,8,8,8,NA,NA,NA,TRUE
Whipping Cream,AttuneDilut,Sensitivity-first,TRUE,48 Hours,2.88,1,2.90 – 3.20,7.9e+02 – 1.6e+03,8,8,8,NA,NA,NA,TRUE
Whipping Cream,AttuneDilut,Sensitivity-first,TRUE,72 Hours,2.88,0.975,2.90,7.9e+02,8,8,8,NA,NA,NA,TRUE
Whipping Cream,AttuneDilut,Best Accuracy,TRUE,12 Hours,2.88,0.9167,2.90,7.9e+02,8,8,8,NA,NA,NA,TRUE
Whipping Cream,AttuneDilut,Best Accuracy,TRUE,24 Hours,2.88,1,2.90 – 3.30,7.9e+02 – 2.0e+03,8,8,8,NA,NA,NA,TRUE
Whipping Cream,AttuneDilut,Best Accuracy,TRUE,48 Hours,2.88,1,2.90 – 3.20,7.9e+02 – 1.6e+03,8,8,8,NA,NA,NA,TRUE
Whipping Cream,AttuneDilut,Best Accuracy,TRUE,72 Hours,2.88,0.9792,2.90,7.9e+02,8,8,8,NA,NA,NA,TRUE
Whipping Cream,AttuneDilut,Youden J,FALSE,12 Hours,2.88,1,no range,—,5,8,8,NA,"Geo 3, Geo 4, AF 5",NA,FALSE
