Product,Test,Time,log10_thresh,Sensitivity,Specificity,PPV,NPV,Prevalence,Accuracy,F1,Jaccard,MCC,Youden_J
Cream,AttuneDilut,6 Hours,3.2,0.9667,0.1875,0.6208,0.75,0.5833,0.6042,0.8842,0.5958,0.6325,0.2167
Cream,AttuneDilut,6 Hours,3.3,0.9667,0.1875,0.6208,0.75,0.5833,0.6042,0.8842,0.5958,0.6325,0.2167
Cream,AttuneDilut,6 Hours,3.4,0.9333,0.1875,0.6208,0.6667,0.5833,0.5833,0.861,0.5708,0.5398,0.1833
Cream,AttuneDilut,6 Hours,3.5,0.8917,0.1875,0.6146,0.4167,0.5833,0.5625,0.8379,0.5458,0.3486,0.1417
Cream,AttuneDilut,6 Hours,3.6,0.8917,0.1875,0.6146,0.4167,0.5833,0.5625,0.8379,0.5458,0.3486,0.1417
Cream,AttuneDilut,6 Hours,3.7,0.7917,0.2083,0.5595,0.5556,0.5833,0.5208,0.8555,0.4708,0.25,0.0417
Cream,AttuneDilut,6 Hours,3.8,0.7917,0.25,0.5595,0.5556,0.5833,0.5625,0.8555,0.4708,0.25,0.0417
Cream,AttuneDilut,6 Hours,3.9,0.7917,0.25,0.5595,0.5556,0.5833,0.5625,0.8555,0.4708,0.25,0.0417
Cream,AttuneDilut,6 Hours,4,0.7083,0.3958,0.5619,0.5,0.5833,0.5625,0.8113,0.4458,0.2279,0.125
Cream,AttuneDilut,6 Hours,4.1,0.7083,0.4167,0.5619,0.5,0.5833,0.5833,0.8113,0.4458,0.2279,0.125
Cream,AttuneDilut,6 Hours,4.2,0.675,0.5,0.6048,0.5238,0.5833,0.6042,0.8085,0.4375,0.2459,0.175
Cream,AttuneDilut,6 Hours,4.3,0.525,0.6667,0.5833,0.5208,0.5833,0.5833,0.7016,0.3708,0.2218,0.1917
Cream,AttuneDilut,6 Hours,4.4,0.4083,0.9375,0.8,0.5812,0.5833,0.6042,0.7151,0.35,0.5662,0.4083
Cream,AttuneDilut,6 Hours,4.5,0.2667,0.9583,0.75,0.4688,0.5833,0.5417,0.6905,0.2286,0.4036,0.2667
Cream,AttuneDilut,6 Hours,4.6,0.1,0.9792,0.6667,0.43120000000000003,0.5833,0.4583,0.4524,0.0857,0.2581,0.1
Cream,AttuneDilut,6 Hours,4.7,0.0333,0.9792,0.5,0.4208,0.5833,0.4167,0.3333,0.0286,0.2,0.0333
Cream,AttuneDilut,6 Hours,4.8,0.0333,0.9792,0.5,0.4208,0.5833,0.4167,0.3333,0.0286,0.2,0.0333
Cream,AttuneDilut,6 Hours,4.9,0.0333,1,1,0.4208,0.5833,0.4375,0.3333,0.0333,0.2,0.0333
Cream,AttuneDilut,6 Hours,5,0,1,NA,0.4167,0.5833,0.4167,NA,0,NA,0
Cream,AttuneDilut,6 Hours,5.1,0,1,NA,0.4167,0.5833,0.4167,NA,0,NA,0
Cream,AttuneDilut,6 Hours,5.2,0,1,NA,0.4167,0.5833,0.4167,NA,0,NA,0
Cream,AttuneDilut,6 Hours,5.3,0,1,NA,0.4167,0.5833,0.4167,NA,0,NA,0
Cream,AttuneDilut,6 Hours,5.4,0,1,NA,0.4167,0.5833,0.4167,NA,0,NA,0
Cream,AttuneDilut,6 Hours,5.5,0,1,NA,0.4167,0.5833,0.4167,NA,0,NA,0
Cream,AttuneDilut,6 Hours,5.6,0,1,NA,0.4167,0.5833,0.4167,NA,0,NA,0
Cream,AttuneDilut,6 Hours,5.7,0,1,NA,0.4167,0.5833,0.4167,NA,0,NA,0
